trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",25,0,-252.32118490024,"{0: 10, 1: 5, 2: 4, 3: 2, 4: 4}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",35,0,-117.66399606878366,"{0: 22, 1: 5, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",25,0,-156.97878159863225,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",25,11,-95.9276843065245,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 2}",1
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-69.19418788342921,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",30,0,-236.97404106283471,"{0: 14, 1: 3, 2: 8, 3: 2, 4: 3}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",25,0,-130.34573322928458,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-56.02229835078947,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,0,-31.18797171941165,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",20,0,-194.3464470390613,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",25,0,-82.85038290838763,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",30,0,-61.77355341155122,"{0: 22, 1: 3, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-95.406583825133,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",25,0,-142.91874232031842,"{0: 10, 1: 4, 2: 10, 3: 0, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",30,0,-156.3290637793829,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",25,0,-155.91726812906847,"{0: 12, 1: 0, 2: 11, 3: 1, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,0,-37.53105990276033,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,0,-43.00673885385188,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",25,0,-82.45812443792292,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,2,-79.02780397728256,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 1}",1
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",25,7,-50.00629674146695,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 0}",1
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",35,0,-135.0494679553788,"{0: 21, 1: 1, 2: 11, 3: 2, 4: 0}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",30,0,-96.5918917193823,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520296}",20,0,-118.2508647106826,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,0,-102.7133661545204,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-116.30080655070162,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",20,0,-70.16908467874151,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",20,0,-40.14535219289007,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
