trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
92,False,"{'a': 0.5, 'e': 0.12606004358268943}",20,2,-28.962982909031776,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
93,False,"{'a': 0.5, 'e': 0.11047039243104517}",20,2,-32.632170022041855,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
94,False,"{'a': 0.5, 'e': 0.09485351199168995}",20,0,-65.34224696307575,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
95,False,"{'a': 0.5, 'e': 0.07921325159041351}",30,19,10.136569617604955,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.06355346631581464}",25,10,9.300462860738847,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.04787801606907915}",25,2,14.327083763478107,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,7,17.763110685427332,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,4,-36.91358338208352,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 1}",1
3,True,"{'a': 0.0, 'e': 0.0}",30,8,19.04269934947084,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,17,14.313550225422127,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,1,30.81197591524243,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",30,11,35.07440617287763,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,8,20.173161709694703,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,14,11.499112199558855,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",30,11,-4.739441970680412,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0.0, 'e': 0.0}",35,15,38.86532138275004,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0.0, 'e': 0.0}",30,22,-5.025947954634091,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
12,True,"{'a': 0.0, 'e': 0.0}",30,19,19.097006129650627,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0.0, 'e': 0.0}",25,4,-14.523361299332247,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
14,True,"{'a': 0.0, 'e': 0.0}",20,0,27.80732379293598,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
