trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.9990332994538209}",20,0,-145.2533446763325,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.9989867259464709}",20,0,-191.56237082147618,"{0: 8, 1: 1, 2: 8, 3: 0, 4: 3}",0
44,False,"{'a': 0.5, 'e': 0.9989390573409811}",25,0,-161.30644151697035,"{0: 9, 1: 2, 2: 12, 3: 2, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.9988902936896062}",25,0,-53.15198397842743,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.9988404350458014}",30,0,-147.92756029033185,"{0: 17, 1: 7, 2: 4, 3: 0, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.9987894814642222}",25,0,-142.98677674698266,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.9987374330007244}",30,0,-68.65795086154134,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.9986842897123638}",20,0,-148.343464553015,"{0: 9, 1: 6, 2: 1, 3: 2, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.9986300516573967}",20,0,-115.10104566380397,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.9985747188952793}",25,0,-219.30842342735912,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 4}",0
52,False,"{'a': 0.5, 'e': 0.9985182914866678}",20,0,-21.812162478124755,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.9984607694934186}",20,11,-112.30158022796367,"{0: 5, 1: 0, 2: 0, 3: 2, 4: 2}",1
54,False,"{'a': 0.5, 'e': 0.9984021529785877}",20,0,-141.69465266514774,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.9983424420064311}",20,5,-93.78223248650494,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 2}",1
56,False,"{'a': 0.5, 'e': 0.9982816366424043}",25,0,-119.76416706363686,"{0: 15, 1: 4, 2: 2, 3: 3, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.998219736953163}",25,7,-62.80908759121339,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.998156743006562}",30,0,-136.69413286697213,"{0: 20, 1: 1, 2: 4, 3: 4, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.9980926548716559}",25,0,-105.98681299996797,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.9980274726186986}",35,0,-192.08633552475808,"{0: 19, 1: 3, 2: 10, 3: 1, 4: 2}",0
61,False,"{'a': 0.5, 'e': 0.9979611963191435}",30,0,-152.77770530824625,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
62,False,"{'a': 0.5, 'e': 0.9978938260456433}",20,0,-110.84483977852985,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.9978253618720498}",20,0,-193.32431784663746,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
64,False,"{'a': 0.5, 'e': 0.9977558038734142}",20,0,-119.99640742744417,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.9976851521259865}",25,0,-103.11008650302433,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
66,False,"{'a': 0.5, 'e': 0.9976134067072158}",20,12,-15.743567781972937,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.99754056769575}",25,0,-131.23972962957615,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
68,False,"{'a': 0.5, 'e': 0.997466635171436}",20,0,-168.5299350772176,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.9973916092153191}",30,0,-179.3678342625324,"{0: 21, 1: 2, 2: 2, 3: 1, 4: 4}",0
70,False,"{'a': 0.5, 'e': 0.9973154899096436}",30,0,-120.86270291429712,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.997238277337852}",25,0,-155.72675521024692,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 4}",0
72,False,"{'a': 0.5, 'e': 0.9971599715845856}",25,0,-44.69238653533567,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.9970805727356837}",30,0,-151.28548301162678,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
74,False,"{'a': 0.5, 'e': 0.9970000808781841}",20,0,-100.63492493788728,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
75,False,"{'a': 0.5, 'e': 0.9969184961003227}",30,0,-65.29972245524836,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.9968358184915335}",25,0,-154.08179891041553,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
77,False,"{'a': 0.5, 'e': 0.9967520481424482}",25,0,-134.29408291014167,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
