trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
56,True,"{'a': 0.0, 'e': 0.0}",30,12,27.45983804881594,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,True,"{'a': 0.0, 'e': 0.0}",30,0,-64.29432086308618,"{0: 27, 1: 0, 2: 0, 3: 1, 4: 2}",0
58,True,"{'a': 0.0, 'e': 0.0}",20,0,-16.833053028108687,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
59,True,"{'a': 0.0, 'e': 0.0}",20,0,26.796577000674798,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
60,True,"{'a': 0.0, 'e': 0.0}",25,0,14.98007894980115,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
61,True,"{'a': 0.0, 'e': 0.0}",20,12,11.961277221504089,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,True,"{'a': 0.0, 'e': 0.0}",20,0,28.040879074646867,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
63,True,"{'a': 0.0, 'e': 0.0}",25,0,37.82095265701125,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
64,True,"{'a': 0.0, 'e': 0.0}",25,0,30.823224801752563,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
65,True,"{'a': 0.0, 'e': 0.0}",20,0,29.480745899742974,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
66,True,"{'a': 0.0, 'e': 0.0}",25,0,30.747032960919192,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
67,True,"{'a': 0.0, 'e': 0.0}",25,0,-16.133371291027782,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
68,True,"{'a': 0.0, 'e': 0.0}",20,0,29.631093760521864,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
69,True,"{'a': 0.0, 'e': 0.0}",25,0,-7.773667405910678,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
70,True,"{'a': 0.0, 'e': 0.0}",20,0,19.904648836135255,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
71,True,"{'a': 0.0, 'e': 0.0}",30,8,30.043127979180365,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,True,"{'a': 0.0, 'e': 0.0}",20,0,29.78159905751366,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
